KOMPETANSETYPEAHEAD,KOMPETANSE
Mek,Mekanisk+arbeid
Mek,Mekanisk+arbeid+generelt
Mek,Mekaniske+fag+(AMO)
Mek,Mekaniske+fag+andre+(AMO)
Mek,Mekaniske+prosessfag+(AMO)
Mel,Mellomfag+(30+vekttall)
Men,Mende
Mes,Mest+brukte+europeiske+spr%C3%A5k
Mes,Mesterbrev
Met,Metallforming
Met,Metallurgi
Met,Metallvarearbeid
Met,Meteorologi
Mic,Microsoft+80
Mik,Mikrobiologi
Mik,Mikroprosessorer
Mik,Mikroprosessorteknikk
Mil,Milit%C3%86re+fag
Mil,Milj%C3%B8+og+vedlikehold+(AMO)
Mil,Milj%C3%B8rettet+helsevern
Mil,Milj%C3%B8vern
Mil,Milj%C3%B8vern+mm
Min,Mina
Min,Mineralarbeid
Min,Minigraver
Mis,Misjonsarbeid
Mob,Mobilkran
Mob,Mobiltelekommunikasjon
Mod,Modellsnekring
Mod,Modul+0+L%C3%86remateriell
Mod,Modul+0+L%C3%86remateriell
Mod,Modul+1
Mod,Modul+1
Mod,Modul+1++4+uker
Mod,Modul+1+-+Programvare+m%C3%A5l+1+og+3+-+4+uker
Mod,Modul+1+Norsk+15+uker
Mod,Modul+1+Norsk+4+uker
Mod,Modul+1+Reiseliv+-+teori
Mod,Modul+1+Salg%2Fservice+-+teori
Mod,Modul+1+2+uker-+etikk+og+kommunikasjon
Mod,Modul+1+2+uker-+etikk+kommunikasjon+og+arbeidsmilj%C3%B8
Mod,Modul+1+3+uker-+salg+og+service
Mod,Modul+1+3+uker-+salg+og+service+vk1
Mod,Modul+1+3+uker-+salg+service+og+sikkerhet
Mod,Modul+1+3+uker-+salg+service+og+sikkerhet+gk
Mod,Modul+1+6+uker+-+Kost+og+ern%C3%86ring
Mod,Modul+1+6+uker-+humanbiologi
Mod,Modul+1+7+dager+-+grunnleggende+IT+forst%C3%A5else
Mod,Modul+2
Mod,Modul+2
Mod,Modul+2++22+uker
Mod,Modul+2++Salg%2Fservice+-+praksis
Mod,Modul+2+-+Programvare+m%C3%A5l+2+og+4+-+4+uker
Mod,Modul+2+Engelsk+6+uker
Mod,Modul+2+Reiseliv+-+praksis
